file,agent_type,reassurance_type,reassurance_delivery_style,sequence_file,toc_turn,evidence_requests,accuracy,final_confidence,mean_abs_confidence_change,max_abs_confidence_jump,sd_confidence,confidence_delta_turn_1_to_2,confidence_range,n_confidence_points,condition
2026-05-27T08-20-28__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep6.json,jtc,calibrated,process_focused,sequence_2.json,3,2,1,83,12.5,19.0,13.051181300301263,6.0,25.0,3,jtc / calibrated / process_focused
2026-05-27T08-31-07__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep4.json,jtc,miscalibrated,process_focused,sequence_2.json,3,2,1,84,13.0,18.0,13.316656236958787,18.0,26.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-15-21__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep9.json,jtc,calibrated,brief_naturalistic,sequence_2.json,3,2,1,84,13.0,22.0,14.0,4.0,26.0,3,jtc / calibrated / brief_naturalistic
2026-05-27T08-23-05__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep4.json,jtc,calibrated,confidence_focused,sequence_2.json,3,2,1,84,13.0,16.0,13.114877048604,10.0,26.0,3,jtc / calibrated / confidence_focused
2026-05-27T08-17-14__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep3.json,jtc,calibrated,warm_supportive,sequence_2.json,3,2,0,82,12.0,18.0,12.489995996796797,6.0,24.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-58-43__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep1.json,nonjtc,miscalibrated,warm_supportive,sequence_1.json,5,4,1,84,16.5,29.0,28.358420266298335,6.0,66.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-16-40__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep9.json,jtc,calibrated,warm_supportive,sequence_1.json,3,2,1,85,13.5,18.0,13.74772708486752,9.0,27.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-59-27__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep4.json,nonjtc,miscalibrated,warm_supportive,sequence_1.json,5,4,1,86,17.0,30.0,29.209587467131406,6.0,68.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-19-36__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep10.json,jtc,calibrated,process_focused,sequence_1.json,3,2,1,86,14.0,18.0,14.189197769195175,10.0,28.0,3,jtc / calibrated / process_focused
2026-05-27T08-29-05__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep10.json,jtc,miscalibrated,warm_supportive,sequence_2.json,3,2,1,83,12.5,18.0,12.897028081435403,18.0,25.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-14-54__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep6.json,jtc,calibrated,brief_naturalistic,sequence_2.json,4,3,1,84,12.666666666666666,16.0,13.988090172238191,-6.0,32.0,4,jtc / calibrated / brief_naturalistic
2026-05-27T08-26-03__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep7.json,jtc,miscalibrated,brief_naturalistic,sequence_2.json,3,2,0,84,13.0,18.0,13.316656236958787,18.0,26.0,3,jtc / miscalibrated / brief_naturalistic
2026-05-27T08-20-38__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep7.json,jtc,calibrated,process_focused,sequence_2.json,3,2,1,83,12.5,19.0,13.051181300301263,6.0,25.0,3,jtc / calibrated / process_focused
2026-05-27T08-30-10__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep7.json,jtc,miscalibrated,process_focused,sequence_1.json,3,2,1,88,15.0,16.0,15.01110699893027,14.0,30.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-58-18__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep9.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2.json,5,4,1,84,16.5,30.0,28.614681546367066,10.0,66.0,5,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-27-41__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep10.json,jtc,miscalibrated,warm_supportive,sequence_1.json,3,2,1,86,14.0,14.0,14.0,14.0,28.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T09-07-28__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep1.json,nonjtc,miscalibrated,confidence_focused,sequence_1.json,5,4,1,85,16.75,34.0,28.91712295509358,10.0,67.0,5,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-45-46__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep7.json,nonjtc,calibrated,process_focused,sequence_1.json,4,3,1,84,24.0,40.0,34.11744421846396,6.0,72.0,4,nonjtc / calibrated / process_focused
2026-05-27T08-30-45__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep1.json,jtc,miscalibrated,process_focused,sequence_2.json,3,2,0,84,13.0,14.0,13.012814197295423,14.0,26.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-56-48__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep2.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2.json,4,3,1,83,21.666666666666668,34.0,30.11505714201231,10.0,65.0,4,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-49-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep1.json,nonjtc,calibrated,confidence_focused,sequence_1.json,6,5,1,89,14.2,29.0,29.969428867875788,6.0,71.0,6,nonjtc / calibrated / confidence_focused
2026-05-27T08-39-43__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep1.json,nonjtc,calibrated,warm_supportive,sequence_1.json,4,3,1,82,21.333333333333332,34.0,30.03886371574886,6.0,64.0,4,nonjtc / calibrated / warm_supportive
2026-05-27T08-14-43__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep5.json,jtc,calibrated,brief_naturalistic,sequence_2.json,4,3,1,84,12.666666666666666,16.0,13.988090172238191,-6.0,32.0,4,jtc / calibrated / brief_naturalistic
2026-05-27T08-29-38__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep4.json,jtc,miscalibrated,process_focused,sequence_1.json,3,2,1,88,15.0,16.0,15.01110699893027,14.0,30.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-40-52__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep6.json,nonjtc,calibrated,warm_supportive,sequence_1.json,4,3,1,84,22.0,34.0,30.854497241083024,6.0,66.0,4,nonjtc / calibrated / warm_supportive
2026-05-27T08-29-21__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep2.json,jtc,miscalibrated,process_focused,sequence_1.json,3,2,1,91,16.5,20.0,16.623276853055575,20.0,33.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-20-12__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep4.json,jtc,calibrated,process_focused,sequence_2.json,3,2,1,84,13.0,21.0,13.796134724383252,5.0,26.0,3,jtc / calibrated / process_focused
2026-05-27T08-46-27__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep10.json,nonjtc,calibrated,process_focused,sequence_1.json,4,3,1,84,22.0,34.0,30.854497241083024,6.0,66.0,4,nonjtc / calibrated / process_focused
2026-05-27T08-48-25__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep8.json,nonjtc,calibrated,process_focused,sequence_2.json,5,4,1,83,16.25,22.0,27.860366113890176,6.0,65.0,5,nonjtc / calibrated / process_focused
2026-05-27T08-16-01__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep4.json,jtc,calibrated,warm_supportive,sequence_1.json,3,2,1,84,13.0,21.0,13.796134724383252,5.0,26.0,3,jtc / calibrated / warm_supportive
2026-05-27T09-08-22__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep5.json,nonjtc,miscalibrated,confidence_focused,sequence_1.json,4,3,1,82,22.333333333333332,42.0,29.512709126747414,10.0,67.0,4,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-17-23__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep4.json,jtc,calibrated,warm_supportive,sequence_2.json,3,2,1,84,13.0,18.0,13.316656236958787,8.0,26.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-37-10__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep1.json,nonjtc,calibrated,brief_naturalistic,sequence_2.json,5,4,1,84,16.5,36.0,29.61756235749323,4.0,66.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-55-15__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep5.json,nonjtc,miscalibrated,brief_naturalistic,sequence_1.json,4,3,1,86,24.666666666666668,40.0,34.92372641438291,6.0,74.0,4,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-25-48__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep5.json,jtc,miscalibrated,brief_naturalistic,sequence_2.json,2,1,0,82,24.0,24.0,16.97056274847714,24.0,24.0,2,jtc / miscalibrated / brief_naturalistic
2026-05-27T09-04-49__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep8.json,nonjtc,miscalibrated,process_focused,sequence_1.json,5,4,1,85,16.75,27.0,27.25252281899788,14.0,67.0,5,nonjtc / miscalibrated / process_focused
2026-05-27T08-46-56__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep2.json,nonjtc,calibrated,process_focused,sequence_2.json,5,4,1,85,16.75,34.0,29.785902705810344,6.0,67.0,5,nonjtc / calibrated / process_focused
2026-05-27T08-57-38__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep6.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2.json,4,3,1,84,22.0,34.0,30.506829836393468,10.0,66.0,4,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-21-41__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep4.json,jtc,calibrated,confidence_focused,sequence_1.json,3,2,1,86,14.0,20.0,14.422205101855956,8.0,28.0,3,jtc / calibrated / confidence_focused
2026-05-27T08-58-57__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep2.json,nonjtc,miscalibrated,warm_supportive,sequence_1.json,5,4,1,89,17.75,34.0,31.28897569432403,6.0,71.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-52-41__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep4.json,nonjtc,calibrated,confidence_focused,sequence_2.json,6,5,1,86,13.6,19.0,27.39647179230688,6.0,68.0,6,nonjtc / calibrated / confidence_focused
2026-05-27T08-44-38__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep2.json,nonjtc,calibrated,process_focused,sequence_1.json,5,4,1,84,16.5,38.0,29.34620929523948,6.0,66.0,5,nonjtc / calibrated / process_focused
2026-05-27T08-57-26__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep5.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2.json,4,3,1,86,22.666666666666668,34.0,31.29962726082639,10.0,68.0,4,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-23-58__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep10.json,jtc,calibrated,confidence_focused,sequence_2.json,3,2,1,83,12.5,19.0,13.051181300301263,6.0,25.0,3,jtc / calibrated / confidence_focused
2026-05-27T10-00-57__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep10.json,nonjtc,miscalibrated,confidence_focused,sequence_1.json,5,4,1,86,17.0,34.0,29.979993328885183,6.0,68.0,5,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-14-06__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep1.json,jtc,calibrated,brief_naturalistic,sequence_2.json,3,2,1,83,12.5,19.0,13.051181300301263,6.0,25.0,3,jtc / calibrated / brief_naturalistic
2026-05-27T08-26-52__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep4.json,jtc,miscalibrated,warm_supportive,sequence_1.json,3,2,1,90,16.0,18.0,16.041612554021288,18.0,32.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-18-27__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep2.json,jtc,calibrated,process_focused,sequence_1.json,3,2,1,84,13.0,23.0,14.224392195567912,3.0,26.0,3,jtc / calibrated / process_focused
2026-05-27T10-01-58__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_2__rep5.json,nonjtc,miscalibrated,confidence_focused,sequence_2.json,4,3,1,86,22.666666666666668,44.0,33.08574718314016,10.0,68.0,4,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-48-58__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep10.json,nonjtc,calibrated,process_focused,sequence_2.json,5,4,1,84,16.5,34.0,29.14103635768639,6.0,66.0,5,nonjtc / calibrated / process_focused
2026-05-27T09-04-36__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep7.json,nonjtc,miscalibrated,process_focused,sequence_1.json,5,4,1,88,20.5,40.0,26.735743864721623,40.0,70.0,5,nonjtc / miscalibrated / process_focused
2026-05-27T08-49-29__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep2.json,nonjtc,calibrated,confidence_focused,sequence_1.json,5,4,1,88,17.5,34.0,31.003225638633154,6.0,70.0,5,nonjtc / calibrated / confidence_focused
2026-05-27T08-55-28__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep6.json,nonjtc,miscalibrated,brief_naturalistic,sequence_1.json,5,4,1,84,16.5,26.0,27.53179979587241,10.0,66.0,5,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-39-57__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep2.json,nonjtc,calibrated,warm_supportive,sequence_1.json,5,4,1,90,18.0,34.0,31.949960876345376,6.0,72.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-37-58__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,calibrated,brief_naturalistic,sequence_2.json,5,4,1,86,17.0,34.0,30.066592756745816,6.0,68.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-17-40__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep6.json,jtc,calibrated,warm_supportive,sequence_2.json,3,2,0,84,13.0,18.0,13.316656236958787,8.0,26.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-21-15__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep1.json,jtc,calibrated,confidence_focused,sequence_1.json,3,2,1,86,14.0,20.0,14.422205101855956,8.0,28.0,3,jtc / calibrated / confidence_focused
2026-05-27T08-39-00__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep8.json,nonjtc,calibrated,brief_naturalistic,sequence_2.json,5,4,1,88,17.5,34.0,31.3878957561669,6.0,70.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-27-25__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep8.json,jtc,miscalibrated,warm_supportive,sequence_1.json,3,2,1,88,15.0,16.0,15.01110699893027,14.0,30.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-51-27__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep10.json,nonjtc,calibrated,confidence_focused,sequence_1.json,6,5,1,88,14.0,26.0,28.835163718395403,6.0,70.0,6,nonjtc / calibrated / confidence_focused
2026-05-27T08-35-33__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep4.json,nonjtc,calibrated,brief_naturalistic,sequence_1.json,4,3,1,84,22.0,34.0,30.854497241083024,6.0,66.0,4,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-17-06__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep2.json,jtc,calibrated,warm_supportive,sequence_2.json,3,2,1,82,12.0,19.0,12.662279942148386,5.0,24.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-40-10__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep3.json,nonjtc,calibrated,warm_supportive,sequence_1.json,4,3,1,86,22.666666666666668,34.0,31.680698645494967,6.0,68.0,4,nonjtc / calibrated / warm_supportive
2026-05-27T10-02-28__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_2__rep7.json,nonjtc,miscalibrated,confidence_focused,sequence_2.json,5,4,1,86,17.0,23.0,27.589853207293437,16.0,68.0,5,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-14-14__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep2.json,jtc,calibrated,brief_naturalistic,sequence_2.json,3,2,1,84,13.0,22.0,14.0,4.0,26.0,3,jtc / calibrated / brief_naturalistic
2026-05-27T08-53-54__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep9.json,nonjtc,calibrated,confidence_focused,sequence_2.json,5,4,1,84,16.5,26.0,28.305476501906835,6.0,66.0,5,nonjtc / calibrated / confidence_focused
2026-05-27T09-03-59__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep4.json,nonjtc,miscalibrated,process_focused,sequence_1.json,4,3,1,84,22.0,27.0,29.055980451535273,14.0,66.0,4,nonjtc / miscalibrated / process_focused
2026-05-27T08-22-07__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep7.json,jtc,calibrated,confidence_focused,sequence_1.json,3,2,1,84,13.0,18.0,13.316656236958787,8.0,26.0,3,jtc / calibrated / confidence_focused
2026-05-27T08-13-05__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep4.json,jtc,calibrated,brief_naturalistic,sequence_1.json,3,2,1,86,14.0,20.0,14.422205101855956,8.0,28.0,3,jtc / calibrated / brief_naturalistic
2026-05-27T09-06-37__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_2__rep7.json,nonjtc,miscalibrated,process_focused,sequence_2.json,4,3,1,83,21.666666666666668,34.0,30.11505714201231,10.0,65.0,4,nonjtc / miscalibrated / process_focused
2026-05-27T09-01-01__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep1.json,nonjtc,miscalibrated,warm_supportive,sequence_2.json,5,4,1,84,16.5,22.0,28.178005607210743,6.0,66.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-46-04__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep8.json,nonjtc,calibrated,process_focused,sequence_1.json,6,5,1,90,14.4,29.0,30.091527046662154,6.0,72.0,6,nonjtc / calibrated / process_focused
2026-05-27T09-03-07__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep10.json,nonjtc,miscalibrated,warm_supportive,sequence_2.json,5,4,1,85,16.75,28.0,28.44644090215857,10.0,67.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-18-09__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep10.json,jtc,calibrated,warm_supportive,sequence_2.json,3,2,1,84,13.0,16.0,13.114877048604,10.0,26.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-54-24__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep1.json,nonjtc,miscalibrated,brief_naturalistic,sequence_1.json,5,4,1,84,16.5,30.0,28.5447017850949,6.0,66.0,5,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-37-24__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep2.json,nonjtc,calibrated,brief_naturalistic,sequence_2.json,5,4,1,84,16.5,22.0,27.618834153526464,6.0,66.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-37-43__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep3.json,nonjtc,calibrated,brief_naturalistic,sequence_2.json,6,5,1,86,13.6,18.0,26.862613424609304,6.0,68.0,6,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-25-54__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep6.json,jtc,miscalibrated,brief_naturalistic,sequence_2.json,2,1,0,76,18.0,18.0,12.727922061357855,18.0,18.0,2,jtc / miscalibrated / brief_naturalistic
2026-05-27T08-33-27__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep1.json,jtc,miscalibrated,confidence_focused,sequence_2.json,2,1,0,82,24.0,24.0,16.97056274847714,24.0,24.0,2,jtc / miscalibrated / confidence_focused
2026-05-27T08-36-55__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep10.json,nonjtc,calibrated,brief_naturalistic,sequence_1.json,5,4,1,90,18.0,34.0,31.949960876345376,6.0,72.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T09-00-33__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep9.json,nonjtc,miscalibrated,warm_supportive,sequence_1.json,5,4,1,84,16.5,30.0,27.806474066303338,10.0,66.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T10-02-10__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_2__rep6.json,nonjtc,miscalibrated,confidence_focused,sequence_2.json,4,3,1,84,22.0,33.0,30.357591033106257,10.0,66.0,4,nonjtc / miscalibrated / confidence_focused
2026-05-27T09-06-26__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_2__rep6.json,nonjtc,miscalibrated,process_focused,sequence_2.json,4,3,1,84,22.0,34.0,30.506829836393468,10.0,66.0,4,nonjtc / miscalibrated / process_focused
2026-05-27T09-05-15__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep10.json,nonjtc,miscalibrated,process_focused,sequence_1.json,5,4,1,86,17.0,26.0,27.84241368847177,12.0,68.0,5,nonjtc / miscalibrated / process_focused
2026-05-27T08-33-05__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep8.json,jtc,miscalibrated,confidence_focused,sequence_1.json,3,2,1,91,16.5,20.0,16.623276853055575,20.0,33.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T08-34-04__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep5.json,jtc,miscalibrated,confidence_focused,sequence_2.json,3,2,0,84,13.0,16.0,13.114877048604,16.0,26.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T08-32-56__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep7.json,jtc,miscalibrated,confidence_focused,sequence_1.json,3,2,1,90,16.0,16.0,16.0,16.0,32.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T09-03-20__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep1.json,nonjtc,miscalibrated,process_focused,sequence_1.json,4,3,1,86,22.666666666666668,29.0,30.346608816582236,14.0,68.0,4,nonjtc / miscalibrated / process_focused
2026-05-27T08-40-23__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep4.json,nonjtc,calibrated,warm_supportive,sequence_1.json,4,3,1,82,21.333333333333332,34.0,30.03886371574886,6.0,64.0,4,nonjtc / calibrated / warm_supportive
2026-05-27T08-47-28__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep4.json,nonjtc,calibrated,process_focused,sequence_2.json,6,5,1,86,13.6,19.0,27.39647179230688,6.0,68.0,6,nonjtc / calibrated / process_focused
2026-05-27T08-35-21__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep3.json,nonjtc,calibrated,brief_naturalistic,sequence_1.json,5,4,1,88,17.5,36.0,31.476975712415577,4.0,70.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T09-09-02__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep8.json,nonjtc,miscalibrated,confidence_focused,sequence_1.json,4,3,1,86,24.666666666666668,38.0,34.136978971978955,12.0,74.0,4,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-28-14__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep4.json,jtc,miscalibrated,warm_supportive,sequence_2.json,3,2,0,84,13.0,14.0,13.012814197295423,14.0,26.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-31-16__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep5.json,jtc,miscalibrated,process_focused,sequence_2.json,3,2,0,84,13.0,18.0,13.316656236958787,18.0,26.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-35-45__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep5.json,nonjtc,calibrated,brief_naturalistic,sequence_1.json,4,3,1,82,21.333333333333332,36.0,30.528675044947494,4.0,64.0,4,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-24-24__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep3.json,jtc,miscalibrated,brief_naturalistic,sequence_1.json,3,2,1,86,14.0,16.0,14.047538337136986,16.0,28.0,3,jtc / miscalibrated / brief_naturalistic
2026-05-27T08-45-32__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep6.json,nonjtc,calibrated,process_focused,sequence_1.json,5,4,1,83,16.25,30.0,28.217016142746207,6.0,65.0,5,nonjtc / calibrated / process_focused
2026-05-27T08-53-41__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep8.json,nonjtc,calibrated,confidence_focused,sequence_2.json,5,4,1,84,16.5,26.0,28.305476501906835,6.0,66.0,5,nonjtc / calibrated / confidence_focused
2026-05-27T08-36-40__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep9.json,nonjtc,calibrated,brief_naturalistic,sequence_1.json,4,3,1,82,21.333333333333332,34.0,30.03886371574886,6.0,64.0,4,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-46-16__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep9.json,nonjtc,calibrated,process_focused,sequence_1.json,4,3,1,83,21.666666666666668,45.0,29.386788414750825,6.0,65.0,4,nonjtc / calibrated / process_focused
2026-05-27T08-26-20__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep10.json,jtc,miscalibrated,brief_naturalistic,sequence_2.json,2,1,0,83,25.0,25.0,17.67766952966369,25.0,25.0,2,jtc / miscalibrated / brief_naturalistic
2026-05-27T09-04-23__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep6.json,nonjtc,miscalibrated,process_focused,sequence_1.json,4,3,1,86,22.666666666666668,29.0,30.346608816582236,14.0,68.0,4,nonjtc / miscalibrated / process_focused
2026-05-27T08-27-33__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep9.json,jtc,miscalibrated,warm_supportive,sequence_1.json,3,2,1,87,14.5,15.0,14.502873278538061,14.0,29.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-13-39__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep8.json,jtc,calibrated,brief_naturalistic,sequence_1.json,3,2,1,84,19.0,32.0,17.009801096230767,-6.0,32.0,3,jtc / calibrated / brief_naturalistic
