file,agent_type,reassurance_type,sequence,turn_index,confidence,accuracy,toc_turn,condition
2026-04-17T23-17-50__openai_gpt_5_4__jtc__calibrated__sequence_1__rep4.json,jtc,calibrated,sequence_1,1,52.0,1,3,jtc / calibrated
2026-04-17T23-17-50__openai_gpt_5_4__jtc__calibrated__sequence_1__rep4.json,jtc,calibrated,sequence_1,2,64.0,1,3,jtc / calibrated
2026-04-17T23-17-50__openai_gpt_5_4__jtc__calibrated__sequence_1__rep4.json,jtc,calibrated,sequence_1,3,84.0,1,3,jtc / calibrated
2026-04-17T23-19-43__openai_gpt_5_4__jtc__calibrated__sequence_2__rep9.json,jtc,calibrated,sequence_2,1,58.0,0,2,jtc / calibrated
2026-04-17T23-19-43__openai_gpt_5_4__jtc__calibrated__sequence_2__rep9.json,jtc,calibrated,sequence_2,2,68.0,0,2,jtc / calibrated
2026-04-17T23-26-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep5.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep5.json,nonjtc,miscalibrated,sequence_1,2,62.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep5.json,nonjtc,miscalibrated,sequence_1,3,48.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep5.json,nonjtc,miscalibrated,sequence_1,4,83.0,1,4,nonjtc / miscalibrated
2026-04-17T23-20-40__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep10.json,jtc,miscalibrated,sequence_1,1,18.0,1,2,jtc / miscalibrated
2026-04-17T23-20-40__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep10.json,jtc,miscalibrated,sequence_1,2,82.0,1,2,jtc / miscalibrated
2026-04-17T23-20-21__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep6.json,jtc,miscalibrated,sequence_1,1,58.0,1,2,jtc / miscalibrated
2026-04-17T23-20-21__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep6.json,jtc,miscalibrated,sequence_1,2,84.0,1,2,jtc / miscalibrated
2026-04-17T23-26-32__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep4.json,nonjtc,miscalibrated,sequence_1,1,20.0,1,5,nonjtc / miscalibrated
2026-04-17T23-26-32__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep4.json,nonjtc,miscalibrated,sequence_1,2,58.0,1,5,nonjtc / miscalibrated
2026-04-17T23-26-32__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep4.json,nonjtc,miscalibrated,sequence_1,3,45.0,1,5,nonjtc / miscalibrated
2026-04-17T23-26-32__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep4.json,nonjtc,miscalibrated,sequence_1,4,72.0,1,5,nonjtc / miscalibrated
2026-04-17T23-26-32__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep4.json,nonjtc,miscalibrated,sequence_1,5,88.0,1,5,nonjtc / miscalibrated
2026-04-17T23-29-15__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep9.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-29-15__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep9.json,nonjtc,miscalibrated,sequence_2,2,32.0,1,4,nonjtc / miscalibrated
2026-04-17T23-29-15__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep9.json,nonjtc,miscalibrated,sequence_2,3,62.0,1,4,nonjtc / miscalibrated
2026-04-17T23-29-15__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep9.json,nonjtc,miscalibrated,sequence_2,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-29-27__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep10.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,5,nonjtc / miscalibrated
2026-04-17T23-29-27__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep10.json,nonjtc,miscalibrated,sequence_2,2,30.0,1,5,nonjtc / miscalibrated
2026-04-17T23-29-27__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep10.json,nonjtc,miscalibrated,sequence_2,3,58.0,1,5,nonjtc / miscalibrated
2026-04-17T23-29-27__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep10.json,nonjtc,miscalibrated,sequence_2,4,74.0,1,5,nonjtc / miscalibrated
2026-04-17T23-29-27__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep10.json,nonjtc,miscalibrated,sequence_2,5,86.0,1,5,nonjtc / miscalibrated
2026-04-17T23-21-19__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep7.json,jtc,miscalibrated,sequence_2,1,62.0,0,2,jtc / miscalibrated
2026-04-17T23-21-19__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep7.json,jtc,miscalibrated,sequence_2,2,84.0,0,2,jtc / miscalibrated
2026-04-17T23-27-07__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep7.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-07__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep7.json,nonjtc,miscalibrated,sequence_1,2,62.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-07__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep7.json,nonjtc,miscalibrated,sequence_1,3,45.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-07__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep7.json,nonjtc,miscalibrated,sequence_1,4,83.0,1,4,nonjtc / miscalibrated
2026-04-17T23-23-46__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep10.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-23-46__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep10.json,nonjtc,calibrated,sequence_1,2,34.0,1,5,nonjtc / calibrated
2026-04-17T23-23-46__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep10.json,nonjtc,calibrated,sequence_1,3,41.0,1,5,nonjtc / calibrated
2026-04-17T23-23-46__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep10.json,nonjtc,calibrated,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-23-46__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep10.json,nonjtc,calibrated,sequence_1,5,84.0,1,5,nonjtc / calibrated
2026-04-17T23-25-34__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep9.json,nonjtc,calibrated,sequence_2,1,52.0,1,4,nonjtc / calibrated
2026-04-17T23-25-34__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep9.json,nonjtc,calibrated,sequence_2,2,60.0,1,4,nonjtc / calibrated
2026-04-17T23-25-34__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep9.json,nonjtc,calibrated,sequence_2,3,72.0,1,4,nonjtc / calibrated
2026-04-17T23-25-34__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep9.json,nonjtc,calibrated,sequence_2,4,86.0,1,4,nonjtc / calibrated
2026-04-17T23-21-14__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep6.json,jtc,miscalibrated,sequence_2,1,60.0,0,2,jtc / miscalibrated
2026-04-17T23-21-14__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep6.json,jtc,miscalibrated,sequence_2,2,84.0,0,2,jtc / miscalibrated
2026-04-17T23-22-13__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep3.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-22-13__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep3.json,nonjtc,calibrated,sequence_1,2,28.0,1,5,nonjtc / calibrated
2026-04-17T23-22-13__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep3.json,nonjtc,calibrated,sequence_1,3,42.0,1,5,nonjtc / calibrated
2026-04-17T23-22-13__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep3.json,nonjtc,calibrated,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-22-13__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep3.json,nonjtc,calibrated,sequence_1,5,86.0,1,5,nonjtc / calibrated
2026-04-17T23-29-04__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep8.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-29-04__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep8.json,nonjtc,miscalibrated,sequence_2,2,32.0,1,4,nonjtc / miscalibrated
2026-04-17T23-29-04__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep8.json,nonjtc,miscalibrated,sequence_2,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-29-04__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep8.json,nonjtc,miscalibrated,sequence_2,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-29__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep9.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-29__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep9.json,nonjtc,miscalibrated,sequence_1,2,28.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-29__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep9.json,nonjtc,miscalibrated,sequence_1,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-29__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep9.json,nonjtc,miscalibrated,sequence_1,4,86.0,1,4,nonjtc / miscalibrated
2026-04-17T23-23-06__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep7.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-23-06__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep7.json,nonjtc,calibrated,sequence_1,2,34.0,1,5,nonjtc / calibrated
2026-04-17T23-23-06__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep7.json,nonjtc,calibrated,sequence_1,3,42.0,1,5,nonjtc / calibrated
2026-04-17T23-23-06__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep7.json,nonjtc,calibrated,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-23-06__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep7.json,nonjtc,calibrated,sequence_1,5,85.0,1,5,nonjtc / calibrated
2026-04-17T23-18-49__openai_gpt_5_4__jtc__calibrated__sequence_2__rep2.json,jtc,calibrated,sequence_2,1,58.0,1,3,jtc / calibrated
2026-04-17T23-18-49__openai_gpt_5_4__jtc__calibrated__sequence_2__rep2.json,jtc,calibrated,sequence_2,2,67.0,1,3,jtc / calibrated
2026-04-17T23-18-49__openai_gpt_5_4__jtc__calibrated__sequence_2__rep2.json,jtc,calibrated,sequence_2,3,83.0,1,3,jtc / calibrated
2026-04-17T23-25-24__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep8.json,nonjtc,calibrated,sequence_2,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-25-24__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep8.json,nonjtc,calibrated,sequence_2,2,24.0,1,5,nonjtc / calibrated
2026-04-17T23-25-24__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep8.json,nonjtc,calibrated,sequence_2,3,58.0,1,5,nonjtc / calibrated
2026-04-17T23-25-24__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep8.json,nonjtc,calibrated,sequence_2,4,78.0,1,5,nonjtc / calibrated
2026-04-17T23-25-24__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep8.json,nonjtc,calibrated,sequence_2,5,86.0,1,5,nonjtc / calibrated
2026-04-17T23-18-04__openai_gpt_5_4__jtc__calibrated__sequence_1__rep6.json,jtc,calibrated,sequence_1,1,52.0,1,3,jtc / calibrated
2026-04-17T23-18-04__openai_gpt_5_4__jtc__calibrated__sequence_1__rep6.json,jtc,calibrated,sequence_1,2,68.0,1,3,jtc / calibrated
2026-04-17T23-18-04__openai_gpt_5_4__jtc__calibrated__sequence_1__rep6.json,jtc,calibrated,sequence_1,3,86.0,1,3,jtc / calibrated
2026-04-17T23-20-49__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep1.json,jtc,miscalibrated,sequence_2,1,58.0,1,3,jtc / miscalibrated
2026-04-17T23-20-49__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep1.json,jtc,miscalibrated,sequence_2,2,84.0,1,3,jtc / miscalibrated
2026-04-17T23-20-49__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep1.json,jtc,miscalibrated,sequence_2,3,88.0,1,3,jtc / miscalibrated
2026-04-17T23-28-43__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep6.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-43__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep6.json,nonjtc,miscalibrated,sequence_2,2,30.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-43__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep6.json,nonjtc,miscalibrated,sequence_2,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-43__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep6.json,nonjtc,miscalibrated,sequence_2,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-24-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep5.json,nonjtc,calibrated,sequence_2,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-24-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep5.json,nonjtc,calibrated,sequence_2,2,24.0,1,5,nonjtc / calibrated
2026-04-17T23-24-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep5.json,nonjtc,calibrated,sequence_2,3,44.0,1,5,nonjtc / calibrated
2026-04-17T23-24-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep5.json,nonjtc,calibrated,sequence_2,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-24-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep5.json,nonjtc,calibrated,sequence_2,5,84.0,1,5,nonjtc / calibrated
2026-04-17T23-23-56__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep1.json,nonjtc,calibrated,sequence_2,1,18.0,1,4,nonjtc / calibrated
2026-04-17T23-23-56__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep1.json,nonjtc,calibrated,sequence_2,2,34.0,1,4,nonjtc / calibrated
2026-04-17T23-23-56__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep1.json,nonjtc,calibrated,sequence_2,3,57.0,1,4,nonjtc / calibrated
2026-04-17T23-23-56__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep1.json,nonjtc,calibrated,sequence_2,4,86.0,1,4,nonjtc / calibrated
2026-04-17T23-21-35__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep10.json,jtc,miscalibrated,sequence_2,1,58.0,1,2,jtc / miscalibrated
2026-04-17T23-21-35__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep10.json,jtc,miscalibrated,sequence_2,2,82.0,1,2,jtc / miscalibrated
2026-04-17T23-22-00__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep2.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-22-00__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep2.json,nonjtc,calibrated,sequence_1,2,34.0,1,5,nonjtc / calibrated
2026-04-17T23-22-00__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep2.json,nonjtc,calibrated,sequence_1,3,40.0,1,5,nonjtc / calibrated
2026-04-17T23-22-00__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep2.json,nonjtc,calibrated,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-22-00__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep2.json,nonjtc,calibrated,sequence_1,5,86.0,1,5,nonjtc / calibrated
2026-04-17T23-27-52__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep1.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-52__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep1.json,nonjtc,miscalibrated,sequence_2,2,32.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-52__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep1.json,nonjtc,miscalibrated,sequence_2,3,61.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-52__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep1.json,nonjtc,miscalibrated,sequence_2,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-20-26__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep7.json,jtc,miscalibrated,sequence_1,1,58.0,1,2,jtc / miscalibrated
2026-04-17T23-20-26__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep7.json,jtc,miscalibrated,sequence_1,2,84.0,1,2,jtc / miscalibrated
2026-04-17T23-18-42__openai_gpt_5_4__jtc__calibrated__sequence_2__rep1.json,jtc,calibrated,sequence_2,1,58.0,0,3,jtc / calibrated
2026-04-17T23-18-42__openai_gpt_5_4__jtc__calibrated__sequence_2__rep1.json,jtc,calibrated,sequence_2,2,64.0,0,3,jtc / calibrated
2026-04-17T23-18-42__openai_gpt_5_4__jtc__calibrated__sequence_2__rep1.json,jtc,calibrated,sequence_2,3,84.0,0,3,jtc / calibrated
2026-04-17T23-22-53__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep6.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-22-53__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep6.json,nonjtc,calibrated,sequence_1,2,34.0,1,5,nonjtc / calibrated
2026-04-17T23-22-53__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep6.json,nonjtc,calibrated,sequence_1,3,42.0,1,5,nonjtc / calibrated
2026-04-17T23-22-53__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep6.json,nonjtc,calibrated,sequence_1,4,72.0,1,5,nonjtc / calibrated
2026-04-17T23-22-53__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep6.json,nonjtc,calibrated,sequence_1,5,88.0,1,5,nonjtc / calibrated
2026-04-17T23-18-26__openai_gpt_5_4__jtc__calibrated__sequence_1__rep9.json,jtc,calibrated,sequence_1,1,52.0,1,3,jtc / calibrated
2026-04-17T23-18-26__openai_gpt_5_4__jtc__calibrated__sequence_1__rep9.json,jtc,calibrated,sequence_1,2,64.0,1,3,jtc / calibrated
2026-04-17T23-18-26__openai_gpt_5_4__jtc__calibrated__sequence_1__rep9.json,jtc,calibrated,sequence_1,3,84.0,1,3,jtc / calibrated
