file,agent_type,reassurance_type,reassurance_delivery_style,condition,mean_abs_confidence_change,max_abs_confidence_jump,early_confidence_gain,accuracy
2026-05-27T08-33-13__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep9.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,16.0,18.0,18.0,1
2026-05-27T08-33-22__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep10.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,16.5,17.0,16.0,1
2026-05-27T08-33-27__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep1.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,24.0,24.0,24.0,0
2026-05-27T08-33-39__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep2.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,12.5,14.0,14.0,1
2026-05-27T08-33-47__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep3.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,13.0,14.0,14.0,1
2026-05-27T08-33-55__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep4.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,13.0,14.0,14.0,0
2026-05-27T08-34-04__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep5.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,13.0,16.0,16.0,0
2026-05-27T08-34-12__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep6.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,12.5,16.0,16.0,1
2026-05-27T08-34-18__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep7.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,14.0,14.0,14.0,0
2026-05-27T08-34-25__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep8.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,12.0,16.0,16.0,1
2026-05-27T08-34-33__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep9.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,11.0,16.0,16.0,1
2026-05-27T08-34-39__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep10.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,24.0,24.0,24.0,1
2026-05-27T08-34-54__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep1.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,22.0,34.0,6.0,1
2026-05-27T08-35-06__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep2.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,21.666666666666668,34.0,6.0,1
2026-05-27T08-35-21__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep3.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,17.5,36.0,4.0,1
2026-05-27T08-35-33__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep4.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,22.0,34.0,6.0,1
2026-05-27T08-35-45__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep5.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,21.333333333333332,36.0,4.0,1
2026-05-27T08-36-00__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep6.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,17.0,34.0,6.0,1
2026-05-27T08-36-15__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep7.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,16.5,32.0,6.0,1
2026-05-27T08-36-29__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep8.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,17.25,32.0,6.0,1
2026-05-27T08-36-40__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep9.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,21.333333333333332,34.0,6.0,1
2026-05-27T08-36-55__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep10.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,18.0,34.0,6.0,1
2026-05-27T08-37-10__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep1.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,16.5,36.0,4.0,1
2026-05-27T08-37-24__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep2.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,16.5,22.0,6.0,1
2026-05-27T08-37-43__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep3.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,13.6,18.0,6.0,1
2026-05-27T08-37-58__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,17.0,34.0,6.0,1
2026-05-27T08-38-16__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep5.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,16.25,21.0,6.0,1
2026-05-27T08-38-30__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep6.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,17.0,36.0,4.0,1
2026-05-27T08-38-44__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep7.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,16.5,22.0,6.0,1
2026-05-27T08-39-00__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep8.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,17.5,34.0,6.0,1
2026-05-27T08-39-17__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep9.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,13.6,20.0,4.0,1
2026-05-27T08-39-31__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep10.json,nonjtc,calibrated,brief_naturalistic,nonjtc / calibrated,16.25,25.0,4.0,1
2026-05-27T08-39-43__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep1.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,21.333333333333332,34.0,6.0,1
2026-05-27T08-39-57__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep2.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,18.0,34.0,6.0,1
2026-05-27T08-40-10__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep3.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,22.666666666666668,34.0,6.0,1
2026-05-27T08-40-23__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep4.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,21.333333333333332,34.0,6.0,1
2026-05-27T08-40-38__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep5.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.5,30.0,6.0,1
2026-05-27T08-40-52__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep6.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,22.0,34.0,6.0,1
2026-05-27T08-41-03__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep7.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,22.666666666666668,38.0,6.0,1
2026-05-27T08-41-16__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep8.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,21.666666666666668,34.0,6.0,1
2026-05-27T08-41-26__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep9.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,21.333333333333332,34.0,6.0,1
2026-05-27T08-41-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep10.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.0,34.0,6.0,1
2026-05-27T08-41-57__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep1.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.0,34.0,6.0,1
2026-05-27T08-42-11__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep2.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,16.5,34.0,6.0,1
2026-05-27T08-42-26__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep3.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.0,34.0,6.0,1
2026-05-27T08-42-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep4.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.25,34.0,6.0,1
2026-05-27T08-42-55__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep5.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.0,34.0,6.0,1
2026-05-27T08-43-08__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep6.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,16.75,34.0,6.0,1
2026-05-27T08-43-22__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep7.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.0,36.0,4.0,1
2026-05-27T08-43-37__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep8.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,16.5,24.0,6.0,1
2026-05-27T08-43-52__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep9.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.0,34.0,6.0,1
2026-05-27T08-44-07__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep10.json,nonjtc,calibrated,warm_supportive,nonjtc / calibrated,17.5,34.0,6.0,1
2026-05-27T08-44-22__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep1.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.5,30.0,6.0,1
2026-05-27T08-44-38__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep2.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.5,38.0,6.0,1
2026-05-27T08-44-52__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep3.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.5,32.0,6.0,1
2026-05-27T08-45-06__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep4.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.0,22.0,10.0,1
2026-05-27T08-45-17__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep5.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,21.666666666666668,34.0,6.0,1
2026-05-27T08-45-32__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep6.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.25,30.0,6.0,1
2026-05-27T08-45-46__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep7.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,24.0,40.0,6.0,1
2026-05-27T08-46-04__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep8.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,14.4,29.0,6.0,1
2026-05-27T08-46-16__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep9.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,21.666666666666668,45.0,6.0,1
2026-05-27T08-46-27__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep10.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,22.0,34.0,6.0,1
2026-05-27T08-46-43__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep1.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,13.6,22.0,6.0,1
2026-05-27T08-46-56__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep2.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.75,34.0,6.0,1
2026-05-27T08-47-10__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep3.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,17.0,30.0,10.0,1
2026-05-27T08-47-28__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep4.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,13.6,19.0,6.0,1
2026-05-27T08-47-43__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep5.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.0,22.0,6.0,1
2026-05-27T08-47-58__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep6.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.25,22.0,6.0,1
2026-05-27T08-48-12__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep7.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.5,34.0,6.0,1
2026-05-27T08-48-25__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep8.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.25,22.0,6.0,1
2026-05-27T08-48-45__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep9.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,13.8,21.0,6.0,1
2026-05-27T08-48-58__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep10.json,nonjtc,calibrated,process_focused,nonjtc / calibrated,16.5,34.0,6.0,1
2026-05-27T08-49-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep1.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,14.2,29.0,6.0,1
2026-05-27T08-49-29__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep2.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,17.5,34.0,6.0,1
2026-05-27T08-49-46__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep3.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,17.0,30.0,10.0,1
2026-05-27T08-50-00__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep4.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,16.5,32.0,6.0,1
2026-05-27T08-50-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep5.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,16.5,32.0,6.0,1
2026-05-27T08-50-30__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep6.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,14.0,27.0,6.0,1
2026-05-27T08-50-41__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep7.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,21.333333333333332,34.0,6.0,1
2026-05-27T08-50-52__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep8.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,22.0,34.0,6.0,1
2026-05-27T08-51-10__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep9.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,14.4,28.0,6.0,1
2026-05-27T08-51-27__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep10.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,14.0,26.0,6.0,1
2026-05-27T08-51-45__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep1.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,13.4,22.0,6.0,1
2026-05-27T08-52-03__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep2.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,13.8,22.0,6.0,1
2026-05-27T08-52-21__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep3.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,13.8,22.0,6.0,1
2026-05-27T08-52-41__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep4.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,13.6,19.0,6.0,1
2026-05-27T08-52-56__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep5.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,16.5,23.0,6.0,1
2026-05-27T08-53-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep6.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,16.5,26.0,6.0,1
2026-05-27T08-53-27__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep7.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,13.8,19.0,8.0,1
2026-05-27T08-53-41__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep8.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,16.5,26.0,6.0,1
2026-05-27T08-53-54__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep9.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,16.5,26.0,6.0,1
2026-05-27T08-54-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep10.json,nonjtc,calibrated,confidence_focused,nonjtc / calibrated,14.0,22.0,6.0,1
2026-05-27T08-54-24__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep1.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,16.5,30.0,6.0,1
2026-05-27T08-54-36__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep2.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,22.0,34.0,10.0,1
2026-05-27T08-54-49__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep3.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,17.0,32.0,10.0,1
2026-05-27T08-55-03__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep4.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,17.0,28.0,10.0,1
2026-05-27T08-55-15__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep5.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,24.666666666666668,40.0,6.0,1
2026-05-27T08-55-28__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep6.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,16.5,26.0,10.0,1
2026-05-27T08-55-42__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep7.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,22.0,34.0,10.0,1
2026-05-27T08-55-54__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep8.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,21.666666666666668,30.0,10.0,1
2026-05-27T08-56-10__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep9.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,17.5,32.0,10.0,1
2026-05-27T08-56-24__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep10.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,18.0,28.0,10.0,1
2026-05-27T08-56-38__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep1.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,17.0,30.0,10.0,1
2026-05-27T08-56-48__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep2.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,21.666666666666668,34.0,10.0,1
2026-05-27T08-57-02__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep3.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,17.0,30.0,10.0,1
2026-05-27T08-57-16__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,17.0,30.0,10.0,1
2026-05-27T08-57-26__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep5.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,22.666666666666668,34.0,10.0,1
2026-05-27T08-57-38__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep6.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,22.0,34.0,10.0,1
2026-05-27T08-57-54__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep7.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,16.5,30.0,10.0,1
2026-05-27T08-58-04__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep8.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,22.0,34.0,10.0,1
2026-05-27T08-58-18__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep9.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,16.5,30.0,10.0,1
2026-05-27T08-58-29__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep10.json,nonjtc,miscalibrated,brief_naturalistic,nonjtc / miscalibrated,22.0,34.0,10.0,1
2026-05-27T08-58-43__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep1.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,16.5,29.0,6.0,1
2026-05-27T08-58-57__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep2.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,17.75,34.0,6.0,1
2026-05-27T08-59-11__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep3.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,16.5,30.0,6.0,1
2026-05-27T08-59-27__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep4.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,17.0,30.0,6.0,1
2026-05-27T08-59-38__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep5.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,21.666666666666668,41.0,6.0,1
2026-05-27T08-59-53__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep6.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,16.5,26.0,6.0,1
2026-05-27T09-00-04__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep7.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,21.666666666666668,34.0,6.0,1
2026-05-27T09-00-18__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep8.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,18.5,36.0,6.0,1
2026-05-27T09-00-33__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep9.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,16.5,30.0,10.0,1
2026-05-27T09-00-47__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep10.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,17.75,34.0,6.0,1
2026-05-27T09-01-01__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep1.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,16.5,22.0,6.0,1
2026-05-27T09-01-12__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep2.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,22.0,34.0,10.0,1
2026-05-27T09-01-26__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep3.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,16.5,30.0,10.0,1
2026-05-27T09-01-41__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep4.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,17.0,30.0,10.0,1
2026-05-27T09-01-56__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep5.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,17.0,34.0,6.0,1
2026-05-27T09-02-10__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep6.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,17.0,34.0,6.0,1
2026-05-27T09-02-25__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep7.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,16.5,34.0,6.0,1
2026-05-27T09-02-38__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep8.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,17.0,34.0,6.0,1
2026-05-27T09-02-52__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep9.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,17.0,34.0,6.0,1
2026-05-27T09-03-07__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep10.json,nonjtc,miscalibrated,warm_supportive,nonjtc / miscalibrated,16.75,28.0,10.0,1
2026-05-27T09-03-20__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep1.json,nonjtc,miscalibrated,process_focused,nonjtc / miscalibrated,22.666666666666668,29.0,14.0,1
2026-05-27T09-03-34__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep2.json,nonjtc,miscalibrated,process_focused,nonjtc / miscalibrated,17.0,26.0,12.0,1
2026-05-27T09-03-48__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep3.json,nonjtc,miscalibrated,process_focused,nonjtc / miscalibrated,17.0,27.0,12.0,1
2026-05-27T09-03-59__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep4.json,nonjtc,miscalibrated,process_focused,nonjtc / miscalibrated,22.0,27.0,14.0,1
2026-05-27T09-04-11__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep5.json,nonjtc,miscalibrated,process_focused,nonjtc / miscalibrated,21.666666666666668,42.0,14.0,1
2026-05-27T09-04-23__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep6.json,nonjtc,miscalibrated,process_focused,nonjtc / miscalibrated,22.666666666666668,29.0,14.0,1
2026-05-27T09-04-36__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_1__rep7.json,nonjtc,miscalibrated,process_focused,nonjtc / miscalibrated,20.5,40.0,40.0,1
